scenario,estimand,design,cov_lb90,wilson_lo,wilson_hi,learned,n_fits,cluster_se,cluster_lo,cluster_hi,fit_cov_min,fit_cov_p10,fit_cov_p50,design_effect
S1,rate,EQ-P/HT,0.9146,0.90896179677825,0.9199197800751859,False,,,,,,,,
S1,rate,PPS-A/HT,0.9699,0.9663664319419673,0.9730726731314278,False,,,,,,,,
S1,rate,RA-OR/HT,0.9146,0.90896179677825,0.9199197800751859,False,,,,,,,,
S1,rate,RA-EST(COR-2000)/HT,0.9224,0.9169924858585595,0.9274831004002232,True,200.0,0.0026846296170802628,0.9171381259505227,0.9276618740494773,0.8,0.88,0.92,1.0069032405525085
S1,rate,DEF-0.5(COR-2000)/HT,0.9187,0.9131812420501094,0.9238971859010087,True,200.0,0.002785740791745342,0.9132399480481791,0.9241600519518208,0.78,0.86,0.92,1.039003822422743
S1,rate,EQ-P/DIFF(COR-2000),0.9177,0.9121517479669156,0.9229274480091582,True,200.0,0.0026225826390206385,0.9125597380275196,0.9228402619724804,0.82,0.86,0.92,0.9106632207986358
S1,rate,RA-EST/DIFF(COR-2000),0.9166,0.9110195764819595,0.9218604643215653,True,200.0,0.0026376096990690474,0.9114302849898246,0.9217697150101754,0.8,0.86,0.92,0.9100707552600436
S1,rate,DEF-0.5/DIFF(COR-2000),0.9183,0.9127694158898937,0.9235093192712068,True,200.0,0.0026018064849109394,0.9132004592895746,0.9233995407104254,0.8,0.86,0.92,0.902284179913181
S1,rate,RA-EST(MIS-G-2000)/HT,0.9214,0.9159620844907947,0.9265142697929436,True,200.0,0.0027945028593930215,0.9159227743955897,0.9268772256044103,0.8,0.86,0.92,1.078296915021418
S1,rate,DEF-0.5(MIS-G-2000)/HT,0.9179,0.9123576278078107,0.923121414563272,True,200.0,0.002815597261630023,0.9123814293672052,0.9234185706327949,0.78,0.86,0.92,1.0519680295100449
S1,rate,SRSWOR/EXP,0.9054,0.899507141970438,0.9109815007125889,False,,,,,,,,
S1,rate,SRSWOR/DIFF(COR-2000),0.9064,0.9005339806287617,0.9119538940293096,True,200.0,0.002928837730612828,0.9006594780479988,0.9121405219520011,0.74,0.86,0.9,1.011101781946295
S1,rate,ST-PROP/EXP,0.9029,0.8969408931741754,0.9085496695712403,False,,,,,,,,
S1,rate,ST-EQD/EXP,0.9226,0.9171985966319105,0.927676836021881,False,,,,,,,,
S1,dollars,EQ-P/HT,0.9634,0.9595380133810057,0.9669060838546003,False,,,,,,,,
S1,dollars,PPS-A/HT,0.9196,0.9141079914647783,0.9247697452638799,False,,,,,,,,
S1,dollars,RA-OR/HT,0.9196,0.9141079914647783,0.9247697452638799,False,,,,,,,,
