dgp,sigma,prevalence,info,rep,n_pos,degenerate,rank_deficient,separated,sm_warning,converged,max_abs_beta,fallback,strata_all_pos,strata_all_neg
MAIN,0.0,0.05,COR-10000,0,527,False,False,False,,True,2.9142421632811435,False,,
MAIN,0.0,0.05,COR-10000,1,471,False,False,False,,True,3.0395378944874305,False,,
MAIN,0.0,0.05,COR-10000,2,469,False,False,False,,True,3.008174766361767,False,,
MAIN,0.0,0.05,COR-10000,3,489,False,False,False,,True,2.911271505970793,False,,
MAIN,0.0,0.05,COR-10000,4,522,False,False,False,,True,2.9078524217373167,False,,
MAIN,0.0,0.05,COR-10000,5,515,False,False,False,,True,2.88828296252005,False,,
MAIN,0.0,0.05,COR-10000,6,516,False,False,False,,True,2.851173194337103,False,,
MAIN,0.0,0.05,COR-10000,7,487,False,False,False,,True,2.9747834208218693,False,,
MAIN,0.0,0.05,COR-10000,8,505,False,False,False,,True,2.949933180437337,False,,
MAIN,0.0,0.05,COR-10000,9,497,False,False,False,,True,2.9120446155068427,False,,
MAIN,0.0,0.05,COR-10000,10,525,False,False,False,,True,2.914741689093026,False,,
MAIN,0.0,0.05,COR-10000,11,533,False,False,False,,True,2.872125417177519,False,,
MAIN,0.0,0.05,COR-10000,12,496,False,False,False,,True,3.011205878569832,False,,
MAIN,0.0,0.05,COR-10000,13,479,False,False,False,,True,2.9982314382704898,False,,
MAIN,0.0,0.05,COR-10000,14,484,False,False,False,,True,2.9676789704848,False,,
MAIN,0.0,0.05,COR-10000,15,472,False,False,False,,True,3.0354029633843824,False,,
MAIN,0.0,0.05,COR-10000,16,492,False,False,False,,True,2.9373295849858225,False,,
MAIN,0.0,0.05,COR-10000,17,511,False,False,False,,True,2.983093673675515,False,,
MAIN,0.0,0.05,COR-10000,18,528,False,False,False,,True,2.8790362426915475,False,,
MAIN,0.0,0.05,COR-10000,19,494,False,False,False,,True,2.9705354976457716,False,,
MAIN,0.0,0.05,COR-10000,20,496,False,False,False,,True,2.960750573194327,False,,
MAIN,0.0,0.05,COR-10000,21,502,False,False,False,,True,3.000626615125145,False,,
MAIN,0.0,0.05,COR-10000,22,533,False,False,False,,True,2.878713616919098,False,,
MAIN,0.0,0.05,COR-10000,23,515,False,False,False,,True,2.862089125522518,False,,
MAIN,0.0,0.05,COR-10000,24,515,False,False,False,,True,2.947853803729619,False,,
MAIN,0.0,0.05,COR-10000,25,526,False,False,False,,True,2.9256394682546527,False,,
MAIN,0.0,0.05,COR-10000,26,465,False,False,False,,True,3.0091088266836423,False,,
MAIN,0.0,0.05,COR-10000,27,494,False,False,False,,True,3.0349279554646316,False,,
MAIN,0.0,0.05,COR-10000,28,510,False,False,False,,True,2.858170105205532,False,,
MAIN,0.0,0.05,COR-10000,29,488,False,False,False,,True,2.990431340867674,False,,
MAIN,0.0,0.05,COR-10000,30,472,False,False,False,,True,3.00663523485561,False,,
MAIN,0.0,0.05,COR-10000,31,518,False,False,False,,True,2.8909373105758203,False,,
MAIN,0.0,0.05,COR-10000,32,546,False,False,False,,True,2.8743983851630026,False,,
