dgp,sigma,prevalence,n,estimand,info,estimator,design,rule,rel_mean,rel_median,rel_p90,maxw_p90,n_changed
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,DEF-0.0,archived,3.8728536610607978,3.816049935709079,4.017197210895222,200.0,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,DEF-0.0,separation-aware,3.8653649465662223,3.812301188481391,4.017197210895222,200.0,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,DEF-0.25,archived,1.7883058541645094,1.7623922815610231,1.940204754996783,266.66645391743447,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,DEF-0.25,separation-aware,1.7553379910904057,1.734113518355629,1.848142742765829,266.57734961130325,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,DEF-0.5,archived,1.3893990026278564,1.327765145454543,1.8127850927708906,399.99904262998626,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,DEF-0.5,separation-aware,1.3256466500107738,1.306048739871535,1.39901575207642,399.5983427229619,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,DEF-0.75,archived,1.281738145148407,1.1309193113558342,2.42164226978045,799.9942558074799,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,DEF-0.75,separation-aware,1.1361479621892072,1.1143863602543638,1.2045677819377296,797.5948938359634,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,RA-EST,archived,23.202945608686782,1.0566629470221653,109.64807285708173,83791558.49883223,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,RA-EST,separation-aware,1.1951630339976842,1.0449433796224636,1.150747923448339,199314.57737742772,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,SRSWOR,archived,3.87304731342647,3.8162407477464657,4.0173980807992615,,21
MAIN,0.0,0.05,100,dollars,COR-500,DIFF,SRSWOR,separation-aware,3.8655582244774456,3.8124918130720453,4.0173980807992615,,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,DEF-0.0,archived,3.910100735446701,3.910100735446701,3.910100735446701,200.0,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,DEF-0.0,separation-aware,3.910100735446701,3.910100735446701,3.910100735446701,200.0,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,DEF-0.25,archived,1.799133830656881,1.7793034631650066,1.944302265711256,266.6664574003662,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,DEF-0.25,separation-aware,1.768775264981399,1.7549913225067022,1.8673687769764897,266.58032198467015,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,DEF-0.5,archived,1.3897586387397536,1.332285328849618,1.7925689277186785,399.9990583031295,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,DEF-0.5,separation-aware,1.3277378904900612,1.3124003275731462,1.4111103913264802,399.61170076872054,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,DEF-0.75,archived,1.2776148545144905,1.127928075465262,2.4051939273102216,799.9943498454462,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,DEF-0.75,separation-aware,1.133324021284664,1.1137758253704177,1.2014515337481808,797.6747259456567,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,RA-EST,archived,23.86048357714341,1.054834448600367,110.98358156308477,85195691.94683108,21
MAIN,0.0,0.05,100,dollars,COR-500,HT,RA-EST,separation-aware,1.199839875033113,1.0431136745824479,1.1499480758429281,206175.27911912362,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,DEF-0.0,archived,1.0129185315761513,1.0098921738086963,1.0246878881555166,200.0,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,DEF-0.0,separation-aware,1.0115423112510264,1.0083713341129656,1.0232043799062873,200.0,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,DEF-0.25,archived,1.0156468735816429,1.0128594457720386,1.027598879036538,266.61197057745835,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,DEF-0.25,separation-aware,1.012982923364212,1.0105489424197855,1.0240979040321387,261.56525800863216,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,DEF-0.5,archived,1.0283178262194301,1.0206837483855165,1.0691674588167492,399.7539685263418,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,DEF-0.5,separation-aware,1.0201070938077426,1.0167053804274018,1.0364059367182956,377.8905236421382,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,DEF-0.75,archived,1.064150990225781,1.0334801062558665,1.2541642957113999,798.525624881933,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,DEF-0.75,separation-aware,1.0351759569650865,1.0271219931769715,1.0675158814666807,680.5598413921748,21
