dgp,sigma,prevalence,n,estimand,design,AV
MAIN,0.0,0.05,100,rate,SRSWOR/DIFF,189050.0
MAIN,0.0,0.05,100,rate,ST-PROP/DIFF,189170.27846874998
MAIN,0.0,0.05,100,rate,ST-EQD/DIFF,428398.73325000005
MAIN,0.0,0.05,100,rate,PPS-A/DIFF(fixed),789331.330263414
MAIN,0.0,0.05,100,dollars,SRSWOR/DIFF,182255093669.85654
MAIN,0.0,0.05,100,dollars,ST-PROP/DIFF,197615105201.32288
MAIN,0.0,0.05,100,dollars,ST-EQD/DIFF,55680756507.999725
MAIN,0.0,0.05,100,dollars,PPS-A/DIFF(fixed),48401626052.021355
MAIN,0.0,0.05,400,rate,SRSWOR/DIFF,46550.0
MAIN,0.0,0.05,400,rate,ST-PROP/DIFF,46551.36524187942
MAIN,0.0,0.05,400,rate,ST-EQD/DIFF,106387.1833125
MAIN,0.0,0.05,400,rate,PPS-A/DIFF(fixed),196620.26179200577
MAIN,0.0,0.05,400,dollars,SRSWOR/DIFF,44876882360.91946
MAIN,0.0,0.05,400,dollars,ST-PROP/DIFF,44436555313.2368
MAIN,0.0,0.05,400,dollars,ST-EQD/DIFF,13233298070.455246
MAIN,0.0,0.05,400,dollars,PPS-A/DIFF(fixed),11413962496.704485
MAIN,0.0,0.25,100,rate,SRSWOR/DIFF,746250.0000000001
MAIN,0.0,0.25,100,rate,ST-PROP/DIFF,746724.7834292764
MAIN,0.0,0.25,100,rate,ST-EQD/DIFF,1691047.63125
MAIN,0.0,0.25,100,rate,PPS-A/DIFF(fixed),3115781.5668292665
MAIN,0.0,0.25,100,dollars,SRSWOR/DIFF,719428001328.381
MAIN,0.0,0.25,100,dollars,ST-PROP/DIFF,780059625794.6957
MAIN,0.0,0.25,100,dollars,ST-EQD/DIFF,219792459899.99893
MAIN,0.0,0.25,100,dollars,PPS-A/DIFF(fixed),191059050205.34744
MAIN,0.0,0.25,400,rate,SRSWOR/DIFF,183750.00000000003
MAIN,0.0,0.25,400,rate,ST-PROP/DIFF,183755.389112682
MAIN,0.0,0.25,400,rate,ST-EQD/DIFF,419949.4078125
MAIN,0.0,0.25,400,rate,PPS-A/DIFF(fixed),776132.612336865
MAIN,0.0,0.25,400,dollars,SRSWOR/DIFF,177145588266.78726
MAIN,0.0,0.25,400,dollars,ST-PROP/DIFF,175407455183.82953
MAIN,0.0,0.25,400,dollars,ST-EQD/DIFF,52236702909.691765
MAIN,0.0,0.25,400,dollars,PPS-A/DIFF(fixed),45055115118.57034
MAIN,0.0,0.7,100,rate,SRSWOR/DIFF,835799.9999999999
MAIN,0.0,0.7,100,rate,ST-PROP/DIFF,836331.7574407893
MAIN,0.0,0.7,100,rate,ST-EQD/DIFF,1893973.3469999991
MAIN,0.0,0.7,100,rate,PPS-A/DIFF(fixed),3489675.3548487765
MAIN,0.0,0.7,100,dollars,SRSWOR/DIFF,805759361487.7863
MAIN,0.0,0.7,100,dollars,ST-PROP/DIFF,873666780890.0588
MAIN,0.0,0.7,100,dollars,ST-EQD/DIFF,246167555087.99872
MAIN,0.0,0.7,100,dollars,PPS-A/DIFF(fixed),213986136229.98904
MAIN,0.0,0.7,400,rate,SRSWOR/DIFF,205799.99999999997
MAIN,0.0,0.7,400,rate,ST-PROP/DIFF,205806.03580620373
MAIN,0.0,0.7,400,rate,ST-EQD/DIFF,470343.3367499997
MAIN,0.0,0.7,400,rate,PPS-A/DIFF(fixed),869268.5258172884
MAIN,0.0,0.7,400,dollars,SRSWOR/DIFF,198403058858.80164
MAIN,0.0,0.7,400,dollars,ST-PROP/DIFF,196456349805.88898
MAIN,0.0,0.7,400,dollars,ST-EQD/DIFF,58505107258.85476
MAIN,0.0,0.7,400,dollars,PPS-A/DIFF(fixed),50461728932.79875
MAIN,0.75,0.05,100,rate,SRSWOR/DIFF,178384.5984714743
MAIN,0.75,0.05,100,rate,ST-PROP/DIFF,179477.5666694051
MAIN,0.75,0.05,100,rate,ST-EQD/DIFF,347265.00594313565
MAIN,0.75,0.05,100,rate,PPS-A/DIFF(fixed),512954.129791668
MAIN,0.75,0.05,100,dollars,SRSWOR/DIFF,304791440153.22266
MAIN,0.75,0.05,100,dollars,ST-PROP/DIFF,332624654471.05444
MAIN,0.75,0.05,100,dollars,ST-EQD/DIFF,74058751159.43762
MAIN,0.75,0.05,100,dollars,PPS-A/DIFF(fixed),63355981375.60643
MAIN,0.75,0.05,400,rate,SRSWOR/DIFF,43923.84585478513
MAIN,0.75,0.05,400,rate,ST-PROP/DIFF,43908.91234901151
MAIN,0.75,0.05,400,rate,ST-EQD/DIFF,86143.94772270047
MAIN,0.75,0.05,400,rate,PPS-A/DIFF(fixed),127566.1884779312
MAIN,0.75,0.05,400,dollars,SRSWOR/DIFF,75049148580.44176
MAIN,0.75,0.05,400,dollars,ST-PROP/DIFF,74264424152.07578
MAIN,0.75,0.05,400,dollars,ST-EQD/DIFF,17365976331.995502
MAIN,0.75,0.05,400,dollars,PPS-A/DIFF(fixed),14691142762.49874
MAIN,0.75,0.25,100,rate,SRSWOR/DIFF,670811.9180805945
MAIN,0.75,0.25,100,rate,ST-PROP/DIFF,672756.1609714249
MAIN,0.75,0.25,100,rate,ST-EQD/DIFF,1412617.3518643703
MAIN,0.75,0.25,100,rate,PPS-A/DIFF(fixed),2249076.64954832
MAIN,0.75,0.25,100,dollars,SRSWOR/DIFF,820813581016.1139
MAIN,0.75,0.25,100,dollars,ST-PROP/DIFF,891809703574.759
MAIN,0.75,0.25,100,dollars,ST-EQD/DIFF,231202680705.0732
MAIN,0.75,0.25,100,dollars,PPS-A/DIFF(fixed),200200152785.06024
MAIN,0.75,0.25,400,rate,SRSWOR/DIFF,165174.79389924186
MAIN,0.75,0.25,400,rate,ST-PROP/DIFF,165164.7243144088
MAIN,0.75,0.25,400,rate,ST-EQD/DIFF,350626.1523451858
MAIN,0.75,0.25,400,rate,PPS-A/DIFF(fixed),559740.7688551961
MAIN,0.75,0.25,400,dollars,SRSWOR/DIFF,202109876732.61096
MAIN,0.75,0.25,400,dollars,ST-PROP/DIFF,200074552518.04462
MAIN,0.75,0.25,400,dollars,ST-EQD/DIFF,54707151654.85079
MAIN,0.75,0.25,400,dollars,PPS-A/DIFF(fixed),46958614580.04532
MAIN,0.75,0.7,100,rate,SRSWOR/DIFF,760853.2823986661
MAIN,0.75,0.7,100,rate,ST-PROP/DIFF,759676.176353529
MAIN,0.75,0.7,100,rate,ST-EQD/DIFF,1825574.6472908899
MAIN,0.75,0.7,100,rate,PPS-A/DIFF(fixed),3553676.448917724
MAIN,0.75,0.7,100,dollars,SRSWOR/DIFF,521618193506.01404
MAIN,0.75,0.7,100,dollars,ST-PROP/DIFF,562485044855.76
MAIN,0.75,0.7,100,dollars,ST-EQD/DIFF,188244425862.56906
MAIN,0.75,0.7,100,dollars,PPS-A/DIFF(fixed),164920110292.4617
MAIN,0.75,0.7,400,rate,SRSWOR/DIFF,187345.78310318914
MAIN,0.75,0.7,400,rate,ST-PROP/DIFF,187376.9321049514
MAIN,0.75,0.7,400,rate,ST-EQD/DIFF,453526.1243262451
MAIN,0.75,0.7,400,rate,PPS-A/DIFF(fixed),885551.2448546728
MAIN,0.75,0.7,400,dollars,SRSWOR/DIFF,128438650662.28487
MAIN,0.75,0.7,400,dollars,ST-PROP/DIFF,127254028241.88109
MAIN,0.75,0.7,400,dollars,ST-EQD/DIFF,45095208751.423615
MAIN,0.75,0.7,400,dollars,PPS-A/DIFF(fixed),39265258492.29799
MAIN,1.5,0.05,100,rate,SRSWOR/DIFF,143695.26258584484
MAIN,1.5,0.05,100,rate,ST-PROP/DIFF,145181.57829664613
MAIN,1.5,0.05,100,rate,ST-EQD/DIFF,248291.26274602074
MAIN,1.5,0.05,100,rate,PPS-A/DIFF(fixed),325570.8969015819
MAIN,1.5,0.05,100,dollars,SRSWOR/DIFF,336131669774.7241
MAIN,1.5,0.05,100,dollars,ST-PROP/DIFF,367881447516.4061
MAIN,1.5,0.05,100,dollars,ST-EQD/DIFF,73008377282.5686
