dgp,sigma,prevalence,n0,estimand,design_estimator,n_equal_precision
MAIN,0.0,0.05,100,rate,EQ-P/HT,105.23546434187809
MAIN,0.0,0.05,100,rate,SRSWOR/EXP,100.00000000000001
MAIN,0.0,0.05,100,rate,ST-PROP/EXP,100.00000024053791
MAIN,0.0,0.05,100,rate,ST-EQD/EXP,225.97301748101216
MAIN,0.0,0.05,100,rate,PPS-A/HT,437.71911209580225
MAIN,0.0,0.05,100,rate,RA-OR/HT,105.23546434187809
MAIN,0.0,0.05,100,rate,EQ-P/DIFF-OR,100.0
MAIN,0.0,0.05,100,rate,SRSWOR/DIFF-OR,100.00000000000001
MAIN,0.0,0.05,100,rate,RA-OR/DIFF-OR,100.0
MAIN,0.0,0.05,100,dollars,EQ-P/HT,101.35771805314091
MAIN,0.0,0.05,100,dollars,SRSWOR/EXP,100.0
MAIN,0.0,0.05,100,dollars,ST-PROP/EXP,96.99640570473049
MAIN,0.0,0.05,100,dollars,ST-EQD/EXP,29.959768207452488
MAIN,0.0,0.05,100,dollars,PPS-A/HT,27.294518709575296
MAIN,0.0,0.05,100,dollars,RA-OR/HT,27.29451870957529
MAIN,0.0,0.05,100,dollars,EQ-P/DIFF-OR,96.31423744002866
MAIN,0.0,0.05,100,dollars,SRSWOR/DIFF-OR,96.31423744002865
MAIN,0.0,0.05,100,dollars,RA-OR/DIFF-OR,25.936364900998573
MAIN,0.0,0.05,400,rate,EQ-P/HT,420.6098841560083
MAIN,0.0,0.05,400,rate,SRSWOR/EXP,399.9999997776643
MAIN,0.0,0.05,400,rate,ST-PROP/EXP,399.9999999999999
MAIN,0.0,0.05,400,rate,ST-EQD/EXP,903.8920698496689
MAIN,0.0,0.05,400,rate,PPS-A/HT,1714.8776651148569
MAIN,0.0,0.05,400,rate,RA-OR/HT,420.6098841560083
MAIN,0.0,0.05,400,rate,EQ-P/DIFF-OR,399.9999997776643
MAIN,0.0,0.05,400,rate,SRSWOR/DIFF-OR,399.9999997776643
MAIN,0.0,0.05,400,rate,RA-OR/DIFF-OR,399.9999997776643
MAIN,0.0,0.05,400,dollars,EQ-P/HT,405.34790497827424
MAIN,0.0,0.05,400,dollars,SRSWOR/EXP,399.99999977766436
