dgp,sigma,prevalence,n,estimand,design,estimator,AV,min_pi,max_pi,max_weight,cv_weights,n_certainty,sd_size,AV_fixed_hajek,nh
MAIN,0.0,0.05,100,rate,EQ-P,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.54750000002,
MAIN,0.0,0.05,100,rate,SRSWOR,EXP,189050.0,,,,,,,,
MAIN,0.0,0.05,100,rate,ST-PROP,EXP,189170.27846874998,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]"
MAIN,0.0,0.05,100,rate,ST-EQD,EXP,428398.73325000005,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
MAIN,0.0,0.05,100,rate,PPS-A,HT,830885.1727287062,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,820788.0392026001,
MAIN,0.0,0.05,100,rate,RA-OR,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.54750000002,
MAIN,0.0,0.05,100,rate,DEF-0.25-OR,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.54750000002,
MAIN,0.0,0.05,100,rate,DEF-0.5-OR,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.54750000002,
MAIN,0.0,0.05,100,rate,DEF-0.75-OR,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.54750000002,
MAIN,0.0,0.05,100,rate,EQ-P,DIFF-OR,189050.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.54750000002,
MAIN,0.0,0.05,100,rate,SRSWOR,DIFF-OR,189050.0,,,,,,,,
MAIN,0.0,0.05,100,rate,RA-OR,DIFF-OR,189050.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.54750000002,
MAIN,0.0,0.05,100,dollars,EQ-P,HT,191847467020.9016,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189255233622.8249,
MAIN,0.0,0.05,100,dollars,SRSWOR,EXP,189264696857.6678,,,,,,,,
MAIN,0.0,0.05,100,dollars,ST-PROP,EXP,199042929186.24188,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]"
MAIN,0.0,0.05,100,dollars,ST-EQD,EXP,56057231900.257904,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
MAIN,0.0,0.05,100,dollars,PPS-A,HT,50957965359.55773,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,48401626052.021355,
MAIN,0.0,0.05,100,dollars,RA-OR,HT,50957965359.557724,1.629564361605836e-05,0.18870088778906785,61366.09412681075,1.777477387660256,0.0,9.906727953316151,48401626052.02135,
MAIN,0.0,0.05,100,dollars,DEF-0.25-OR,HT,86623018584.33667,0.0037540739109040142,0.050925221947266966,266.377280717734,0.2762640542931927,0.0,9.970717309768313,84046374168.44873,
MAIN,0.0,0.05,100,dollars,DEF-0.5-OR,HT,64866994429.29083,0.0025081478218080292,0.09685044389453393,398.7005834764307,0.5175741825262512,0.0,9.95795233395169,62301520623.331085,
MAIN,0.0,0.05,100,dollars,DEF-0.75-OR,HT,54968460281.23957,0.0012622217327120438,0.14277566584180088,792.2538283755999,0.8337664922857715,0.0,9.93664093352584,52409762122.69713,
MAIN,0.0,0.05,100,dollars,EQ-P,DIFF-OR,182255093669.85654,0.005,0.005,200.0,0.0,0.0,9.974968671630002,182245980915.17303,
MAIN,0.0,0.05,100,dollars,SRSWOR,DIFF-OR,182255093669.85654,,,,,,,,
MAIN,0.0,0.05,100,dollars,RA-OR,DIFF-OR,48410067091.57984,1.6295643616058356e-05,0.1887008877890678,61366.09412681076,1.7774773876602563,0.0,9.90672795331615,48401626052.02135,
MAIN,0.0,0.05,400,rate,EQ-P,HT,49000.00000000001,0.02,0.02,50.0,0.0,0.0,19.798989873223334,46547.67249999999,
MAIN,0.0,0.05,400,rate,SRSWOR,EXP,46550.0,,,,,,,,
MAIN,0.0,0.05,400,rate,ST-PROP,EXP,46551.36524187943,,,,,,,,"[np.int64(254), np.int64(75), np.int64(40), np.int64(22), np.int64(9)]"
MAIN,0.0,0.05,400,rate,ST-EQD,EXP,106387.1833125,,,,,,,,"[np.int64(80), np.int64(80), np.int64(80), np.int64(80), np.int64(80)]"
MAIN,0.0,0.05,400,rate,PPS-A,HT,206971.29318217654,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,204375.19861885,
MAIN,0.0,0.05,400,rate,RA-OR,HT,49000.00000000001,0.02,0.02,50.0,0.0,0.0,19.798989873223334,46547.67249999999,
MAIN,0.0,0.05,400,rate,DEF-0.25-OR,HT,49000.00000000001,0.02,0.02,50.0,0.0,0.0,19.798989873223334,46547.67249999999,
MAIN,0.0,0.05,400,rate,DEF-0.5-OR,HT,49000.00000000001,0.02,0.02,50.0,0.0,0.0,19.798989873223334,46547.67249999999,
