scenario,dgp,sigma,prevalence,n,estimand,design,R,true_total,bias,rel_bias,mc_se_bias,emp_var,rmse,mean_var_hat,cov_lb90,cov_lb90_lo,cov_lb90_hi,cov_2s95,mean_lb_shortfall,mean_width95,mean_size,sd_size,zero_error_freq,var_estimator
S1,MAIN,0.0,0.25,100,rate,EQ-P/HT,10000,4940.0,-1.699999999999818,-0.0003441295546558336,9.798270848020131,960061.1161116111,979.7795670455677,982721.7,0.9146,0.90896179677825,0.9199197800751859,0.9472,1265.7885513035535,3866.513217939108,99.8231,9.930478658654879,0.0,
S1,MAIN,0.0,0.25,100,rate,PPS-A/HT,10000,4940.0,-19.092649760190398,-0.0038649088583381373,19.963182455371598,3985286.537464564,1996.3097299982492,4024405.3153668107,0.9699,0.9663664319419673,0.9730726731314278,0.8499,2187.834090063458,6633.60761916372,99.9043,9.849951345565113,0.0,
S1,MAIN,0.0,0.25,100,rate,RA-OR/HT,10000,4940.0,-1.699999999999818,-0.0003441295546558336,9.798270848020131,960061.1161116111,979.7795670455677,982721.7,0.9146,0.90896179677825,0.9199197800751859,0.9472,1265.7885513035535,3866.513217939108,99.8231,9.930478658654879,0.0,
S1,MAIN,0.0,0.25,100,rate,RA-EST(COR-2000)/HT,10000,4940.0,-2.152023261506656,-0.00043563223917138786,9.826858981569796,965671.5744365898,982.6391191496826,984790.232247926,0.9224,0.9169924858585595,0.9274831004002232,0.9432,1267.4880748202745,3870.328991937846,99.834,9.936631421160795,0.0,
S1,MAIN,0.0,0.25,100,rate,DEF-0.5(COR-2000)/HT,10000,4940.0,-2.223353688907082,-0.0004500715969447534,9.812379070999178,962827.8303298267,981.1913630115278,983176.6018230781,0.9187,0.9131812420501094,0.9238971859010087,0.9453,1266.5729662429555,3867.311735396363,99.8231,9.93610619860718,0.0,
S1,MAIN,0.0,0.25,100,rate,EQ-P/DIFF(COR-2000),10000,4940.0,7.024467200040817,0.0014219569230851856,8.50117111505856,722699.1032750597,850.1036269209635,742138.8437109645,0.9177,0.9121517479669156,0.9229274480091582,0.9472,1093.8005672719528,3367.133213915275,99.8231,9.930478658654879,0.0,
S1,MAIN,0.0,0.25,100,rate,RA-EST/DIFF(COR-2000),10000,4940.0,6.816249683094611,0.001379807628156804,8.518802307869006,725699.927605543,851.8649064684639,742893.7637556014,0.9166,0.9110195764819595,0.9218604643215653,0.9469,1094.5081972442224,3368.6607847944833,99.8201,9.934985454946576,0.0,
S1,MAIN,0.0,0.25,100,rate,DEF-0.5/DIFF(COR-2000),10000,4940.0,6.438903721287716,0.0013034218059286874,8.503061879759096,723020.613310123,850.2880516212867,742190.4360712585,0.9183,0.9127694158898937,0.9235093192712068,0.9472,1094.4013000347916,3367.179612751308,99.8131,9.940873623077602,0.0,
S1,MAIN,0.0,0.25,100,rate,RA-EST(MIS-G-2000)/HT,10000,4940.0,-4.586064184964016,-0.0009283530738793555,9.799546640522811,960311.1435978193,979.9163966727814,982896.5541343734,0.9214,0.9159620844907947,0.9265142697929436,0.9459,1268.7662424359814,3866.7934805861546,99.8161,9.935667103420888,0.0,
S1,MAIN,0.0,0.25,100,rate,DEF-0.5(MIS-G-2000)/HT,10000,4940.0,-3.629903782859401,-0.0007347983366112148,9.807001928536344,961772.8682631557,980.6578746830121,982547.2736122845,0.9179,0.9123576278078107,0.923121414563272,0.9467,1267.5838717342847,3866.101562988684,99.8098,9.942878052153711,0.0,
S1,MAIN,0.0,0.25,100,rate,SRSWOR/EXP,10000,4940.0,11.539999999999964,0.0023360323886639604,8.69838657642343,756619.290329033,869.8717146798142,741290.1561616161,0.9054,0.899507141970438,0.9109815007125889,0.9437,1089.8275111457915,3368.7925068718478,100.0,0.0,0.0,
S1,MAIN,0.0,0.25,100,rate,SRSWOR/DIFF(COR-2000),10000,4940.0,11.409747855886962,0.002309665557871855,8.71114835830585,758841.0572041472,871.1460012217021,743422.9865609597,0.9064,0.9005339806287617,0.9119538940293096,0.9404,1091.5329513574045,3373.6105913940496,100.0,0.0,0.0,
S1,MAIN,0.0,0.25,100,rate,ST-PROP/EXP,10000,4940.0,13.944803157894057,0.0028228346473469753,8.683510286111304,754033.5088900082,868.419577781519,742002.6811222852,0.9029,0.8969408931741754,0.9085496695712403,0.9403,1087.769414804955,3369.852991510779,100.0,0.0,0.0,
S1,MAIN,0.0,0.25,100,rate,ST-EQD/EXP,10000,4940.0,35.9101899999996,0.00726926923076915,12.832270075500883,1646671.5529059544,1283.6652318640167,1678134.4454574739,0.9226,0.9171985966319105,0.927676836021881,0.9296,1609.8620692871018,5033.9829339400485,100.0,0.0,0.0,
S1,MAIN,0.0,0.25,100,dollars,EQ-P/HT,10000,2527474.506755437,-8707.151707673911,-0.003445000803925589,9168.054271434678,840532191239.7164,916800.9339608315,841900608699.2156,0.9634,0.9595380133810057,0.9669060838546003,0.8632,1081937.7923417825,3282729.2467998597,99.9494,9.846605488187286,0.0,
S1,MAIN,0.0,0.25,100,dollars,PPS-A/HT,10000,2527474.506755437,-9592.212928415276,-0.0037951769257324646,5027.550843820219,252762674871.9739,502821.44858125405,252350260194.8455,0.9196,0.9141079914647783,0.9247697452638799,0.9469,650102.8309402218,1959152.9155288495,99.9111,9.927567516264999,0.0,
S1,MAIN,0.0,0.25,100,dollars,RA-OR/HT,10000,2527474.506755437,-9592.212928415742,-0.003795176925732649,5027.550843820218,252762674871.9738,502821.44858125405,252350260194.8454,0.9196,0.9141079914647783,0.9247697452638799,0.9469,650102.830940222,1959152.915528849,99.9111,9.927567516264999,0.0,
S1,MAIN,0.0,0.25,100,dollars,RA-EST(COR-2000)/HT,10000,2527474.506755437,-8312.545290895738,-0.0032888740395513216,5044.594368250135,254479323401.80978,504502.6995752182,253033603848.31686,0.9238,0.9184354778193632,0.9288390332044817,0.9426,649644.0875097872,1961663.9059925675,99.9263,9.945746241987074,0.0,
S1,MAIN,0.0,0.25,100,dollars,DEF-0.5(COR-2000)/HT,10000,2527474.506755437,-9230.270981008187,-0.00365197391955389,5679.972351772815,322620859169.03613,568043.8319227681,319549085327.13165,0.9278,0.922561185652359,0.9327102532716638,0.9361,727477.3129637167,2196928.117660741,99.9649,9.993131040369681,0.0,
S1,MAIN,0.0,0.25,100,dollars,EQ-P/DIFF(COR-2000),10000,2527474.506755437,-5882.884511575103,-0.0023275742231430316,8088.744113417967,654277813323.5382,808855.3602915558,663934811957.8838,0.9351,0.9301025060002954,0.9397633263415521,0.9366,994390.2822781102,3023583.2098578033,99.9494,9.846605488187286,0.0,
S1,MAIN,0.0,0.25,100,dollars,RA-EST/DIFF(COR-2000),10000,2527474.506755437,-6713.417972934898,-0.0026561763353067525,4368.172191445325,190809282941.1625,436846.9663323161,190799219570.52234,0.9182,0.9126664653094795,0.9234123466541165,0.9464,564823.9051139606,1707112.6649916251,99.9205,9.943881523328805,0.0,
