scenario_id,estimand,estimator,sampling_design,design_label,inference_method,anticipated_variance_rank,empirical_rmse_rank,interval_width_rank,coverage_lb90,coverage_lb90_ci,coverage_2s95,decision_metric_rank,weight_instability_rank,anticipated_variance,empirical_rmse,mean_width95,lb_shortfall,max_weight,rel_bias,material_undercoverage,notes
S1,dollars,HT,EQ-P,EQ-P/HT,Wald LB90/2s95; Poisson HT var est,14.0,14.0,14.0,0.9634,"[0.960,0.967]",0.8632,14.0,1.0,959237335104.5082,916800.9339608316,3282729.2467998597,1081937.7923417825,200.0,-0.0034450008039255,False,
S1,dollars,HT,PPS-A,PPS-A/HT,Wald LB90/2s95; Poisson HT var est,5.0,4.0,5.0,0.9196,"[0.914,0.925]",0.9469,6.0,11.0,254789826797.7887,502821.44858125405,1959152.9155288497,650102.8309402218,61366.09412681075,-0.0037951769257324,False,
S1,dollars,HT,RA-OR,RA-OR/HT,Wald LB90/2s95; Poisson HT var est,4.0,4.0,4.0,0.9196,"[0.914,0.925]",0.9469,7.0,11.0,254789826797.78864,502821.44858125405,1959152.915528849,650102.830940222,61366.09412681075,-0.0037951769257326,False,
S1,dollars,HT,RA-EST(COR-2000),RA-EST(COR-2000)/HT,Wald LB90/2s95; Poisson HT var est,7.0,6.0,7.0,0.9238,"[0.918,0.929]",0.9426,4.0,14.0,255328196162.3719,504502.6995752182,1961663.9059925675,649644.0875097872,61671.603115181526,-0.0032888740395513,False,
S1,dollars,HT,DEF-0.5(COR-2000),DEF-0.5(COR-2000)/HT,Wald LB90/2s95; Poisson HT var est,9.0,9.0,9.0,0.9278,"[0.923,0.933]",0.9361,9.0,8.0,324648201069.9634,568043.8319227681,2196928.117660741,727477.3129637167,398.70696019513264,-0.0036519739195538,False,
S1,dollars,DIFF,EQ-P,EQ-P/DIFF(COR-2000),Wald LB90/2s95; residual var est,11.0,10.0,11.0,0.9351,"[0.930,0.940]",0.9366,12.0,1.0,723408016056.5919,808855.3602915558,3023583.2098578033,994390.2822781102,200.0,-0.002327574223143,False,
S1,dollars,DIFF,RA-EST,RA-EST/DIFF(COR-2000),Wald LB90/2s95; residual var est,1.0,1.0,1.0,0.9182,"[0.913,0.923]",0.9464,1.0,13.0,192023733619.40793,436846.9663323161,1707112.6649916251,564823.9051139606,61535.616097103484,-0.0026561763353067,False,
S1,dollars,DIFF,DEF-0.5,DEF-0.5/DIFF(COR-2000),Wald LB90/2s95; residual var est,3.0,3.0,3.0,0.9187,"[0.913,0.924]",0.944,3.0,7.0,244426264208.1362,491468.3431829252,1918645.3904397695,635178.3143435834,398.70413714326924,-0.0031299701775688,False,
S1,dollars,HT,RA-EST(MIS-G-2000),RA-EST(MIS-G-2000)/HT,Wald LB90/2s95; Poisson HT var est,6.0,7.0,6.0,0.9251,"[0.920,0.930]",0.9453,5.0,10.0,254966331081.1509,504541.2893111906,1959729.2090559287,650102.4086385834,61265.93076431604,-0.0037204654527798,False,
S1,dollars,HT,DEF-0.5(MIS-G-2000),DEF-0.5(MIS-G-2000)/HT,Wald LB90/2s95; Poisson HT var est,8.0,8.0,8.0,0.9262,"[0.921,0.931]",0.9369,8.0,6.0,324550812133.0659,565932.9252819609,2196450.5840832824,727422.0735164934,398.69846365666604,-0.0036918879776681,False,
S1,dollars,EXP,SRSWOR,SRSWOR/EXP,Wald LB90/2s95; SRSWOR/stratified var est,13.0,13.0,13.0,0.9571,"[0.953,0.961]",0.8623,13.0,1.0,894668081023.6625,888354.1250236147,3145858.3613083633,1028779.2106903546,200.0,-0.0001171528606642,False,
S1,dollars,DIFF,SRSWOR,SRSWOR/DIFF(COR-2000),Wald LB90/2s95; residual var est,10.0,11.0,12.0,0.9303,"[0.925,0.935]",0.9283,11.0,1.0,723170146679.5164,813915.6114955209,3026322.836407251,990861.6984090024,200.0,-0.0005771088416605,False,
S1,dollars,EXP,ST-PROP,ST-PROP/EXP,Wald LB90/2s95; SRSWOR/stratified var est,12.0,12.0,10.0,0.9274,"[0.922,0.932]",0.8441,10.0,5.0,815755225417.6707,837495.059327961,2987631.2508292315,983963.5039567174,222.5,-0.0028526370494429,False,
S1,dollars,EXP,ST-EQD,ST-EQD/EXP,Wald LB90/2s95; SRSWOR/stratified var est,2.0,2.0,2.0,0.9219,"[0.916,0.927]",0.9406,2.0,9.0,229204344706.45337,466074.6774676712,1829363.207741349,600415.7596358565,634.7,-0.0009248781009583,False,
S1,rate,HT,EQ-P,EQ-P/HT,Wald LB90/2s95; Poisson HT var est,7.0,7.0,8.0,0.9146,"[0.909,0.920]",0.9472,7.0,1.0,995000.0000000002,979.7795670455675,3866.513217939108,1265.7885513035535,200.0,-0.0003441295546558,False,
S1,rate,HT,PPS-A,PPS-A/HT,Wald LB90/2s95; Poisson HT var est,14.0,14.0,14.0,0.9699,"[0.966,0.973]",0.8499,14.0,14.0,4154425.863643532,1996.3097299982492,6633.60761916372,2187.834090063458,61366.09412681075,-0.0038649088583381,False,
S1,rate,HT,RA-OR,RA-OR/HT,Wald LB90/2s95; Poisson HT var est,7.0,7.0,8.0,0.9146,"[0.909,0.920]",0.9472,7.0,1.0,995000.0000000002,979.7795670455675,3866.513217939108,1265.7885513035535,200.0,-0.0003441295546558,False,
S1,rate,HT,RA-EST(COR-2000),RA-EST(COR-2000)/HT,Wald LB90/2s95; Poisson HT var est,12.0,12.0,12.0,0.9224,"[0.917,0.927]",0.9432,10.0,12.0,997054.8086407076,982.6391191496826,3870.328991937846,1267.4880748202745,247.7040513848387,-0.0004356322391713,False,
S1,rate,HT,DEF-0.5(COR-2000),DEF-0.5(COR-2000)/HT,Wald LB90/2s95; Poisson HT var est,10.0,11.0,11.0,0.9187,"[0.913,0.924]",0.9453,9.0,9.0,995505.3501800369,981.1913630115278,3867.311735396363,1266.5729662429555,221.31051179402772,-0.0004500715969447,False,
S1,rate,DIFF,EQ-P,EQ-P/DIFF(COR-2000),Wald LB90/2s95; residual var est,4.0,1.0,1.0,0.9177,"[0.912,0.923]",0.9472,4.0,1.0,748633.7418534262,850.1036269209635,3367.133213915275,1093.8005672719528,200.0,0.0014219569230851,False,
S1,rate,DIFF,RA-EST,RA-EST/DIFF(COR-2000),Wald LB90/2s95; residual var est,6.0,3.0,3.0,0.9166,"[0.911,0.922]",0.9469,6.0,11.0,749365.8411347118,851.8649064684639,3368.6607847944833,1094.5081972442224,234.05771580121777,0.0013798076281568,False,
S1,rate,DIFF,DEF-0.5,DEF-0.5/DIFF(COR-2000),Wald LB90/2s95; residual var est,5.0,2.0,2.0,0.9183,"[0.913,0.924]",0.9472,5.0,7.0,748814.7637610909,850.2880516212867,3367.179612751308,1094.4013000347916,215.6926367467358,0.0013034218059286,False,
S1,rate,HT,RA-EST(MIS-G-2000),RA-EST(MIS-G-2000)/HT,Wald LB90/2s95; Poisson HT var est,11.0,9.0,10.0,0.9214,"[0.916,0.927]",0.9459,12.0,8.0,995697.2812536043,979.9163966727814,3866.7934805861546,1268.7662424359814,217.59718492878702,-0.0009283530738793,False,
S1,rate,HT,DEF-0.5(MIS-G-2000),DEF-0.5(MIS-G-2000)/HT,Wald LB90/2s95; Poisson HT var est,9.0,10.0,7.0,0.9179,"[0.912,0.923]",0.9467,11.0,6.0,995173.8786708902,980.657874683012,3866.101562988684,1267.583871734285,208.4278258567933,-0.0007347983366112,False,
S1,rate,EXP,SRSWOR,SRSWOR/EXP,Wald LB90/2s95; SRSWOR/stratified var est,1.0,5.0,4.0,0.9054,"[0.900,0.911]",0.9437,2.0,1.0,746250.0000000001,869.8717146798142,3368.792506871848,1089.8275111457915,200.0,0.0023360323886639,False,
S1,rate,DIFF,SRSWOR,SRSWOR/DIFF(COR-2000),Wald LB90/2s95; residual var est,3.0,6.0,6.0,0.9064,"[0.901,0.912]",0.9404,3.0,1.0,748216.4414283606,871.1460012217021,3373.6105913940496,1091.5329513574045,200.0,0.0023096655578718,False,
