scenario_id,estimand,n_designs,best_by_AV,best_by_RMSE,best_by_width,best_by_decision_metric,rho_AV_RMSE,rho_AV_width,rho_AV_decision,n_material_undercoverage,undercovering
S1,dollars,14,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),0.9900996090312549,0.9824175824175824,0.9428571428571428,0,
S1,rate,14,SRSWOR/EXP,EQ-P/DIFF(COR-2000),EQ-P/DIFF(COR-2000),ST-PROP/EXP,0.8634361233480177,0.8634361233480177,0.9735682819383259,0,
S2,dollars,16,RA-EST/DIFF(COR-2000),CPS-RA-EST(COR-2000)/HT,RA-EST/DIFF(COR-2000),CPS-RA-EST(COR-2000)/HT,0.9852941176470588,0.9970588235294118,0.988235294117647,0,
S2,rate,16,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),0.9970588235294118,0.9970588235294118,0.988235294117647,0,
S3,dollars,14,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),0.9956043956043955,0.9956043956043955,0.9956043956043955,0,
S3,rate,14,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),0.9956043956043955,0.9912087912087912,0.9956043956043955,0,
S4,dollars,14,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),0.9912087912087912,0.9868131868131869,0.9956043956043955,0,
S4,rate,14,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),1.0,0.9956043956043955,1.0,0,
S5,dollars,16,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),0.9970588235294118,0.9970588235294118,0.9970588235294118,0,
S5,rate,16,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),0.9970588235294118,0.9941176470588234,1.0,0,
S6,dollars,16,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),CPS-RA-EST(COR-2000)/HT,0.9911764705882352,0.9588235294117649,0.9160839160839161,4,EQ-P/DIFF(COR-2000);RA-EST/DIFF(COR-2000);DEF-0.5/DIFF(COR-2000);SRSWOR/DIFF(COR-2000)
S6,rate,16,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),0.988235294117647,0.9970588235294118,0.9941176470588234,0,
S7,dollars,14,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),0.9956043956043955,0.956043956043956,0.9230769230769232,2,EQ-P/DIFF(COR-2000);SRSWOR/DIFF(COR-2000)
S7,rate,14,RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),RA-EST/DIFF(COR-2000),1.0,0.9956043956043955,0.9780219780219781,0,
S8,dollars,12,RA-EST/DIFF(STRAT-2000),RA-EST/DIFF(STRAT-2000),RA-EST/DIFF(STRAT-2000),RA-EST/DIFF(STRAT-2000),0.9860139860139862,0.8881118881118882,0.9878787878787877,2,EQ-P/DIFF(STRAT-2000);SRSWOR/DIFF(STRAT-2000)
S8,rate,12,ST-PROP/EXP,ST-PROP/EXP,ST-PROP/EXP,ST-PROP/EXP,0.9930069930069931,0.9790209790209792,0.9720279720279721,0,
