sigma,prevalence,n,info,anchor,lam,rel_mean,rel_median,rel_p90,share_worse,max_weight_p90
0.0,0.05,100,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.05,100,COR-10000,PPS-A,0.25,1.0001679304639408,1.0001428374576662,1.0003051669023553,1.0,64798.1378879528
0.0,0.05,100,COR-10000,PPS-A,0.5,1.0006758944060787,1.0005761469731145,1.001236101918103,1.0,68636.81580937037
0.0,0.05,100,COR-10000,PPS-A,0.75,1.0015352781059743,1.0013299016992758,1.0028503037068717,1.0,72958.9471494122
0.0,0.05,100,COR-10000,PPS-A,1.0,1.0027660003530605,1.0023732870924844,1.0052423733936147,1.0,77862.00140761057
0.0,0.05,100,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.05,100,COR-2000,PPS-A,0.25,1.0007961283913922,1.0006557157118952,1.0014709857192075,1.0,69379.00275520893
0.0,0.05,100,COR-2000,PPS-A,0.5,1.0032258272754384,1.0026477785118115,1.0059789845922527,1.0,79799.32557266028
0.0,0.05,100,COR-2000,PPS-A,0.75,1.0074663570397309,1.0058967051846668,1.01401945194149,1.0,93904.21553292092
0.0,0.05,100,COR-2000,PPS-A,1.0,1.0139724920222712,1.0108431822892046,1.0257463228852957,1.0,114068.85909380512
0.0,0.05,100,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.05,100,COR-500,PPS-A,0.25,1.0042506566502305,1.0031485365579,1.0106640348045173,0.98,81801.7622118009
0.0,0.05,100,COR-500,PPS-A,0.5,1.0191366902735555,1.0125950698334183,1.0589792525791168,0.98,122643.5962042139
0.0,0.05,100,COR-500,PPS-A,0.75,1.058699512835618,1.0288994210297844,1.2546545951206258,0.98,244933.5923750027
0.0,0.05,100,COR-500,PPS-A,1.0,23.86048357714341,1.054834448600367,110.98358156308477,0.98,85195691.94683108
0.0,0.05,100,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.05,100,MIS-G-2000,PPS-A,0.25,1.00027093381948,1.0002182862731879,1.0005826028725269,1.0,65974.39098352534
0.0,0.05,100,MIS-G-2000,PPS-A,0.5,1.0010826436318951,1.0008728101909985,1.0023243772383439,1.0,71331.00771390615
0.0,0.05,100,MIS-G-2000,PPS-A,0.75,1.0024398230851288,1.0019655460815051,1.0052312538949097,1.0,77634.32674941467
0.0,0.05,100,MIS-G-2000,PPS-A,1.0,1.004355871170815,1.0035017862466349,1.0093613846387515,1.0,85159.65083623
0.0,0.05,400,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.05,400,COR-10000,PPS-A,0.25,1.0001774083822317,1.0001509455661335,1.0003225003735299,1.0,16199.5344719882
0.0,0.05,400,COR-10000,PPS-A,0.5,1.0007141051586175,1.0006091351493747,1.001306497339024,1.0,17159.203952342592
0.0,0.05,400,COR-10000,PPS-A,0.75,1.0016221611750296,1.001404692579893,1.0030109335139048,1.0,18239.73678735305
0.0,0.05,400,COR-10000,PPS-A,1.0,1.0029226925468322,1.00250683418209,1.005541774391768,1.0,19465.500351902643
0.0,0.05,400,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.05,400,COR-2000,PPS-A,0.25,1.000841177399325,1.0006925332158,1.0015547430956622,1.0,17344.750688802233
0.0,0.05,400,COR-2000,PPS-A,0.5,1.00340851314332,1.0027966499587715,1.0063154086872286,1.0,19949.83139316507
