dgp,sigma,prevalence,n,estimand,best_conv,AV_best_conv,AV_srswor,AV_raor_fixed,AV_raor_diff_fixed,AV_raor_poisson,AV_eqp_poisson,AV_best_conv_diff_or,AV_best_conv_diff_family
MAIN,0.0,0.05,100,dollars,PPS-A/HT(fixed),48401626052.021355,189264696857.6678,48401626052.02135,48401626052.02135,50957965359.55773,191847467020.9016,48401626052.021355,48401626052.021355
MAIN,0.0,0.05,100,rate,SRSWOR/EXP,189050.0,189050.0,189040.5475,189040.5475,199000.00000000003,199000.00000000003,189050.0,189050.0
MAIN,0.0,0.05,400,dollars,PPS-A/HT(fixed),11413962496.704485,46602865055.40563,11413962496.70448,11413962496.70448,12016448122.473972,47238823537.80994,11413962496.704485,11413962496.704485
MAIN,0.0,0.05,400,rate,SRSWOR/EXP,46550.0,46550.0,46547.67249999999,46547.6725,49000.00000000001,49000.00000000001,46550.0,46550.0
MAIN,0.0,0.25,100,dollars,PPS-A/HT(fixed),191059050205.34747,894668081023.6625,191059050205.3474,191059050205.34744,254789826797.78864,959237335104.5082,191059050205.34744,191059050205.34744
MAIN,0.0,0.25,100,rate,SRSWOR/EXP,746250.0000000001,746250.0000000001,746212.6875000003,746212.6875000001,995000.0000000002,995000.0000000002,746250.0000000001,746250.0000000001
MAIN,0.0,0.25,400,dollars,PPS-A/HT(fixed),45055115118.57033,220295155628.942,45055115118.57033,45055115118.570335,60082240612.36987,236194117689.04977,45055115118.57034,45055115118.57033
MAIN,0.0,0.25,400,rate,SRSWOR/EXP,183750.00000000003,183750.00000000003,183740.81250000003,183740.81250000003,245000.0000000001,245000.0000000001,183750.00000000003,183750.00000000003
MAIN,0.0,0.7,100,dollars,PPS-A/HT(fixed),213986136229.9892,2179641586298.7915,213986136229.9892,213986136229.989,713411515033.8083,2685864538292.623,213986136229.98904,213986136229.98904
MAIN,0.0,0.7,100,rate,SRSWOR/EXP,835799.9999999999,835799.9999999999,835758.2099999997,835758.2099999995,2786000.0000000005,2786000.0000000005,835799.9999999999,835799.9999999999
MAIN,0.0,0.7,400,dollars,PPS-A/HT(fixed),50461728932.79877,536695666978.0944,50461728932.79877,50461728932.79874,168230273714.63568,661343529529.3392,50461728932.79875,50461728932.79875
MAIN,0.0,0.7,400,rate,SRSWOR/EXP,205799.99999999997,205799.99999999997,205789.71000000025,205789.7099999999,686000.0000000002,686000.0000000002,205799.99999999997,205799.99999999997
MAIN,0.75,0.05,100,dollars,PPS-A/HT(fixed),68242342737.82353,360764729327.4943,58765865985.69702,57596150596.86427,64007332221.54479,366210252031.3696,63355981375.60643,63355981375.60643
MAIN,0.75,0.05,100,rate,SRSWOR/EXP,189050.5332967412,189050.5332967412,161454.45433303236,159103.14914934154,171382.13818009227,198999.99999999997,178384.5984714743,178384.5984714743
MAIN,0.75,0.05,400,dollars,PPS-A/HT(fixed),15804690560.002504,88831516266.56894,13497785772.648272,13252571242.043827,14623919797.684082,90172373615.76436,14691142762.49874,14691142762.49874
MAIN,0.75,0.05,400,rate,ST-PROP/EXP,46304.29943090806,46550.13131427296,39674.53185526472,39103.5304242861,42095.53454502307,48999.99999999999,43908.91234901151,43908.91234901151
MAIN,0.75,0.25,100,dollars,PPS-A/HT(fixed),223692459970.39124,1399265256220.331,206647717529.6639,196939966408.2881,314216228671.25323,1509510965701.5657,200200152785.06024,200200152785.06024
MAIN,0.75,0.25,100,rate,ST-PROP/EXP,736472.8791008753,746253.7720927006,679035.1432588138,652163.2003512789,927544.8031071078,995000.0,670811.9180805945,670811.9180805945
MAIN,0.75,0.25,400,dollars,PPS-A/HT(fixed),52403413081.91254,344542701280.383,48442871342.09659,46143659014.09753,72865322520.91019,371688629745.6117,46958614580.04532,46958614580.04532
MAIN,0.75,0.25,400,rate,ST-PROP/EXP,180803.69283746745,183750.92880674536,167151.71884756646,160512.7504754298,228136.20077677697,244999.99999999997,165164.7243144088,165164.7243144088
MAIN,0.75,0.7,100,dollars,PPS-A/HT(fixed),178253968176.53418,2543857885260.534,173652153829.90637,158682133408.75388,784059746614.5873,3164248628427.065,164920110292.4617,164920110292.4617
MAIN,0.75,0.7,100,rate,ST-PROP/EXP,821339.8139385488,835803.7475232562,806669.3277146127,742216.8586634763,2756616.8502009874,2786000.0,759676.176353529,759676.176353529
MAIN,0.75,0.7,400,dollars,PPS-A/HT(fixed),42434427900.8739,626377067224.9556,41407715361.93234,37705743361.90408,184089376496.2584,779136596949.3777,39265258492.29799,39265258492.29799
MAIN,0.75,0.7,400,rate,ST-PROP/EXP,202623.14861497423,205800.92275698268,198735.35173843385,182686.82917237573,678654.2125502469,686000.0,187345.7831031891,187345.7831031891
MAIN,1.5,0.05,100,dollars,PPS-A/HT(fixed),82554638982.97731,515518790972.05975,52453841839.09647,47679945215.546844,60142654762.16774,523843673414.87494,61565600640.290855,61565600640.290855
MAIN,1.5,0.05,100,rate,ST-PROP/EXP,188364.84542134544,189052.2678502632,108898.411582517,100836.80700378022,118727.13445322984,198999.99999999997,143695.26258584484,143695.26258584484
