dgp,sigma,prevalence,n,estimand,estimator_family,info,baseline,oracle_gain_vs_srswor,oracle_gain_vs_bestconv,raest_rel_bestconv_mean,raest_rel_bestconv_p90,raest_share_worse,def_reliable,region
MAIN,0.0,0.05,100,dollars,HT,COR-10000,PPS-A/HT(fixed),0.7442649006622684,1.1102230246251565e-16,1.0027660003530605,1.0052423733936147,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,HT,COR-2000,PPS-A/HT(fixed),0.7442649006622684,1.1102230246251565e-16,1.0139724920222712,1.0257463228852957,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,HT,COR-500,PPS-A/HT(fixed),0.7442649006622684,1.1102230246251565e-16,23.86048357714341,110.98358156308477,0.98,,A-conv
MAIN,0.0,0.05,100,dollars,HT,KS-2000,PPS-A/HT(fixed),0.7442649006622684,1.1102230246251565e-16,1.018972866583379,1.0336207025768414,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,HT,MIS-G-10000,PPS-A/HT(fixed),0.7442649006622684,1.1102230246251565e-16,1.0010339974098827,1.0024712714095265,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,HT,MIS-G-2000,PPS-A/HT(fixed),0.7442649006622684,1.1102230246251565e-16,1.004355871170815,1.0093613846387515,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,HT,MIS-I-2000,PPS-A/HT(fixed),0.7442649006622684,1.1102230246251565e-16,1.0106457801566406,1.0199966146259598,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,best conventional (EXP or DIFF),0.7442649006622684,1.1102230246251565e-16,1.0028916793147082,1.0054904376821414,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,best conventional (EXP or DIFF),0.7442649006622684,1.1102230246251565e-16,1.014554077372772,1.0274559518741222,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,DIFF,COR-500,best conventional (EXP or DIFF),0.7442649006622684,1.1102230246251565e-16,23.202945608686782,109.64807285708173,0.98,,A-conv
MAIN,0.0,0.05,100,dollars,DIFF,KS-2000,best conventional (EXP or DIFF),0.7442649006622684,1.1102230246251565e-16,1.0197367098788623,1.0360942706348713,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-10000,best conventional (EXP or DIFF),0.7442649006622684,1.1102230246251565e-16,1.0010841725459647,1.002614523918893,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,DIFF,MIS-G-2000,best conventional (EXP or DIFF),0.7442649006622684,1.1102230246251565e-16,1.0045660557829363,1.0100384490968146,1.0,,A-conv
MAIN,0.0,0.05,100,dollars,DIFF,MIS-I-2000,best conventional (EXP or DIFF),0.7442649006622684,1.1102230246251565e-16,1.011133189043466,1.0208486874247893,1.0,,A-conv
MAIN,0.0,0.05,100,rate,HT,COR-10000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.0026570319792614,1.0050054564109818,1.0,,A
MAIN,0.0,0.05,100,rate,HT,COR-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.013539173242894,1.025749625385964,1.0,,A
MAIN,0.0,0.05,100,rate,HT,COR-500,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,23.267667177596856,172.4058487511462,0.98,,A
MAIN,0.0,0.05,100,rate,HT,KS-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.0185034839087592,1.0342382039475067,1.0,,A
MAIN,0.0,0.05,100,rate,HT,MIS-G-10000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.0009918353918419,1.0024662234335597,0.975,,A
MAIN,0.0,0.05,100,rate,HT,MIS-G-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.0043814065688603,1.009494828334758,0.995,,A
MAIN,0.0,0.05,100,rate,HT,MIS-I-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.01054204896799,1.020385919072456,1.0,,A
MAIN,0.0,0.05,100,rate,DIFF,COR-10000,best conventional (EXP or DIFF),5.0000000000105516e-05,5.0000000000105516e-05,1.0027878411170539,1.0052417087566006,1.0,,A
MAIN,0.0,0.05,100,rate,DIFF,COR-2000,best conventional (EXP or DIFF),5.0000000000105516e-05,5.0000000000105516e-05,1.014133240428703,1.026769356287495,1.0,,A
MAIN,0.0,0.05,100,rate,DIFF,COR-500,best conventional (EXP or DIFF),5.0000000000105516e-05,5.0000000000105516e-05,22.63147622920179,168.97750029650567,0.98,,A
MAIN,0.0,0.05,100,rate,DIFF,KS-2000,best conventional (EXP or DIFF),5.0000000000105516e-05,5.0000000000105516e-05,1.0192626829489908,1.035638759114361,1.0,,A
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-10000,best conventional (EXP or DIFF),5.0000000000105516e-05,5.0000000000105516e-05,1.001045077701302,1.0025924104742376,0.975,,A
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-2000,best conventional (EXP or DIFF),5.0000000000105516e-05,5.0000000000105516e-05,1.004605065130995,1.0100705158493624,0.995,,A
MAIN,0.0,0.05,100,rate,DIFF,MIS-I-2000,best conventional (EXP or DIFF),5.0000000000105516e-05,5.0000000000105516e-05,1.0110202035616254,1.0212915273821055,1.0,,A
MAIN,0.0,0.05,400,dollars,HT,COR-10000,PPS-A/HT(fixed),0.7550802406003463,5.551115123125783e-16,1.0029226925468322,1.005541774391768,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,HT,COR-2000,PPS-A/HT(fixed),0.7550802406003463,5.551115123125783e-16,1.0147675554060047,1.0272115818766208,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,HT,COR-500,PPS-A/HT(fixed),0.7550802406003463,5.551115123125783e-16,25.23126746729122,117.59715747267526,0.98,,A-conv
MAIN,0.0,0.05,400,dollars,HT,KS-2000,PPS-A/HT(fixed),0.7550802406003463,5.551115123125783e-16,1.0200499604396323,1.035483397220855,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,HT,MIS-G-10000,PPS-A/HT(fixed),0.7550802406003463,5.551115123125783e-16,1.0010916762001398,1.0026116390924562,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,HT,MIS-G-2000,PPS-A/HT(fixed),0.7550802406003463,5.551115123125783e-16,1.004598640249285,1.0098726224392371,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,HT,MIS-I-2000,PPS-A/HT(fixed),0.7550802406003463,5.551115123125783e-16,1.0112471192803199,1.0210454428644828,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,DIFF,COR-10000,best conventional (EXP or DIFF),0.7550802406003463,5.551115123125783e-16,1.0030278843218488,1.0057603006765623,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,DIFF,COR-2000,best conventional (EXP or DIFF),0.7550802406003463,5.551115123125783e-16,1.0152414059906334,1.02871810601031,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,DIFF,COR-500,best conventional (EXP or DIFF),0.7550802406003463,5.551115123125783e-16,24.534445203141544,116.18112189543798,0.98,,A-conv
MAIN,0.0,0.05,400,dollars,DIFF,KS-2000,best conventional (EXP or DIFF),0.7550802406003463,5.551115123125783e-16,1.0206610842910655,1.03734142732206,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,DIFF,MIS-G-10000,best conventional (EXP or DIFF),0.7550802406003463,5.551115123125783e-16,1.0011310598365777,1.0027358420237058,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,DIFF,MIS-G-2000,best conventional (EXP or DIFF),0.7550802406003463,5.551115123125783e-16,1.0047622570686525,1.0104576802191685,1.0,,A-conv
MAIN,0.0,0.05,400,dollars,DIFF,MIS-I-2000,best conventional (EXP or DIFF),0.7550802406003463,5.551115123125783e-16,1.0116423455745014,1.0218922823565089,1.0,,A-conv
MAIN,0.0,0.05,400,rate,HT,COR-10000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.0026964652371273,1.0050793708011931,1.0,,A
MAIN,0.0,0.05,400,rate,HT,COR-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.0137376952663217,1.0261248551408286,1.0,,A
MAIN,0.0,0.05,400,rate,HT,COR-500,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,23.608450184880553,175.02926610913934,0.98,,A
MAIN,0.0,0.05,400,rate,HT,KS-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.0187746579421377,1.0347373207332855,1.0,,A
MAIN,0.0,0.05,400,rate,HT,MIS-G-10000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.001006988006447,1.0025028193301881,0.975,,A
MAIN,0.0,0.05,400,rate,HT,MIS-G-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.0044458620229892,1.0096336683406955,0.995,,A
MAIN,0.0,0.05,400,rate,HT,MIS-I-2000,SRSWOR/EXP,5.0000000000105516e-05,5.0000000000105516e-05,1.010696446283777,1.0206832204898413,1.0,,A
MAIN,0.0,0.05,400,rate,DIFF,COR-10000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0028233735631542,1.0053090046666049,1.0,,A
MAIN,0.0,0.05,400,rate,DIFF,COR-2000,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,1.0143117080116864,1.0271092437143494,1.0,,A
MAIN,0.0,0.05,400,rate,DIFF,COR-500,best conventional (EXP or DIFF),4.999999999999449e-05,4.999999999999449e-05,22.962373064027815,171.54831144049746,0.98,,A
