sigma,prevalence,n0,estimand,best_conv,n_oracle_match_srswor,n_oracle_match_bestconv,max_saving_vs_srswor,max_saving_vs_bestconv,pilot_500_exceeds_saving,pilot_2000_exceeds_saving
0.0,0.05,100,dollars,PPS-A/HT(fixed),25.931649875572173,99.99999996689893,74.06835012442782,3.310107388188044e-08,True,True
0.0,0.05,100,rate,SRSWOR/EXP,99.9950249656946,99.9950249656946,0.0049750343054029145,0.0049750343054029145,True,True
0.0,0.05,400,dollars,PPS-A/HT(fixed),103.78542819523491,399.9999997116241,296.2145718047651,2.883758725147345e-07,True,True
0.0,0.05,400,rate,SRSWOR/EXP,399.98039969353886,399.98039969353886,0.01960030646114319,0.01960030646114319,True,True
0.0,0.25,100,dollars,PPS-A/HT(fixed),21.67156701685305,99.99999996689891,78.32843298314695,3.3101088092735154e-08,True,True
0.0,0.25,100,rate,SRSWOR/EXP,99.99502496569457,99.99502496569457,0.004975034305431336,0.004975034305431336,True,True
0.0,0.25,400,dollars,PPS-A/HT(fixed),86.94278333317986,399.99999971162424,313.0572166668201,2.883757588278968e-07,True,True
0.0,0.25,400,rate,SRSWOR/EXP,399.980399693539,399.980399693539,0.01960030646097266,0.01960030646097266,True,True
0.0,0.7,100,dollars,PPS-A/HT(fixed),9.984579831364158,99.99999996689884,90.01542016863584,3.310115914700873e-08,True,True
0.0,0.7,100,rate,SRSWOR/EXP,99.99502496569458,99.99502496569458,0.004975034305417125,0.004975034305417125,True,True
0.0,0.7,400,dollars,PPS-A/HT(fixed),40.32093363939925,399.99999971162396,359.67906636060076,2.883760430449911e-07,True,True
0.0,0.7,400,rate,SRSWOR/EXP,399.9803996935385,399.9803996935385,0.01960030646148425,0.01960030646148425,True,True
0.75,0.05,100,dollars,PPS-A/HT(fixed),16.656752231888813,86.42990630711309,83.34324776811118,13.570093692886914,True,True
0.75,0.05,100,rate,SRSWOR/EXP,85.47339804181955,85.47339804181955,14.52660195818045,14.52660195818045,True,True
0.75,0.05,400,dollars,PPS-A/HT(fixed),66.74984926040744,346.937305119646,333.2501507395925,53.062694880354,True,True
0.75,0.05,400,rate,ST-PROP/EXP,342.06233178291586,343.8430244129019,57.93766821708414,56.15697558709809,True,True
0.75,0.25,100,dollars,PPS-A/HT(fixed),15.028461412731216,92.52350254895413,84.97153858726878,7.476497451045873,True,True
0.75,0.25,100,rate,ST-PROP/EXP,91.03428573515522,92.2376076455558,8.965714264844777,7.762392354444202,True,True
0.75,0.25,400,dollars,PPS-A/HT(fixed),60.46899998533878,372.07116464113085,339.53100001466123,27.92883535886915,True,True
0.75,0.25,400,rate,ST-PROP/EXP,364.53673868140834,370.36686987067503,35.46326131859166,29.633130129324968,True,True
0.75,0.7,100,dollars,PPS-A/HT(fixed),6.924104260433338,97.45652890178843,93.07589573956666,2.543471098211569,True,True
0.75,0.7,100,rate,ST-PROP/EXP,96.53043142086804,98.22229601954784,3.469568579131959,1.7777039804521593,True,True
0.75,0.7,400,dollars,PPS-A/HT(fixed),28.030307247130654,390.89580109650785,371.9696927528693,9.104198903492147,True,True
0.75,0.7,400,rate,ST-PROP/EXP,386.5231742299238,392.47034252325676,13.476825770076175,7.529657476743239,True,True
1.5,0.05,100,dollars,PPS-A/HT(fixed),10.509825204773257,64.37185574500491,89.49017479522675,35.62814425499509,True,True
1.5,0.05,100,rate,ST-PROP/EXP,57.785743468048956,57.995712153348585,42.214256531951044,42.004287846651415,True,True
1.5,0.05,400,dollars,PPS-A/HT(fixed),42.20177105839834,260.99005382883036,357.7982289416017,139.00994617116964,True,True
1.5,0.05,400,rate,ST-PROP/EXP,231.61163512196345,235.0365771932463,168.38836487803655,164.9634228067537,True,True
1.5,0.25,100,dollars,PPS-A/HT(fixed),11.212627049729097,80.76017194903032,88.7873729502709,19.239828050969678,True,True
1.5,0.25,100,rate,ST-PROP/EXP,75.08918498904343,78.2836667885612,24.91081501095657,21.716333211438794,True,True
1.5,0.25,400,dollars,PPS-A/HT(fixed),45.22572463123904,327.6779035727999,354.774275368761,72.32209642720011,True,True
1.5,0.25,400,rate,ST-PROP/EXP,301.27788952611706,315.1480009981736,98.72211047388294,84.85199900182641,True,True
1.5,0.7,100,dollars,PPS-A/HT(fixed),5.21351782330834,92.1557591942515,94.78648217669166,7.844240805748498,True,True
1.5,0.7,100,rate,ST-PROP/EXP,88.62163780267065,92.78515407259232,11.378362197329352,7.21484592740768,True,True
1.5,0.7,400,dollars,PPS-A/HT(fixed),21.132685235711865,370.85960515912944,378.86731476428815,29.140394840870556,True,True
1.5,0.7,400,rate,ST-PROP/EXP,355.56023573949807,370.6713196611388,44.43976426050193,29.328680338861204,True,True
