dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_fixed_equal_mean,rel_fixed_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,lambda
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,DEF-0.0,3.7690563526389425,3.7684895771914872,3.771940182035906,1.0,0.99995,0.9999500000000002,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,DEF-0.25,1.7051448688434367,1.7041937165907322,1.7267448474872082,1.0,0.45238431869974927,0.4579367161946124,266.3734635687731,266.43630910614684,0.27570586016777715,0.25
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,DEF-0.5,1.2770369169467437,1.2760778753420503,1.2909500338171729,1.0,0.33880483969914643,0.3424529498197579,398.68348112346155,398.9651788193746,0.5166503113563876,0.5
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,DEF-0.75,1.0820762067410203,1.0813765752939442,1.0901378211775758,1.0,0.2870805748331405,0.2891383898349065,792.1525435120732,793.8230331982953,0.8321595199610392,0.75
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,RA-EST,1.0028916793147082,1.0024900826579102,1.0054904376821414,1.0,0.2660722243373905,0.26665645921096937,60566.49003706778,77108.04670980964,1.7691722201322846,1.0
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,DEF-0.0,3.7833261027526395,3.7781454860770944,3.799878529250634,1.0,0.99995,0.9999500000000002,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,DEF-0.25,1.7135866766528702,1.7083169078829292,1.75993865715208,1.0,0.4529253533061952,0.4652212276223764,266.3832889170261,266.5077289776119,0.2773201169176827,0.25
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,DEF-0.5,1.2854419819774818,1.2836710808230647,1.3179839578330514,1.0,0.3397592177210519,0.3482263455529357,398.727504603835,399.28563204998346,0.5193926974952776,0.5
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,DEF-0.75,1.0910864607790172,1.0897772424367014,1.1120883269851412,1.0,0.2883857876800425,0.29366392698485283,792.4132978514854,795.7290492489666,0.837145935976923,0.75
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,RA-EST,1.014554077372772,1.0113827727537328,1.0274559518741222,1.0,0.2681512858976845,0.27098049767904564,62668.61082533257,111800.74433820379,1.7935821237397596,1.0
