dgp,sigma,prevalence,n,estimand,design,estimator,AV,min_pi,max_pi,max_weight,cv_weights,n_certainty,sd_size,AV_fixed_hajek,nh,de,AV_srs,AV_eqp,rel_SRSWOR,rel_EQP,relfix_SRSWOR
MAIN,0.0,0.05,100,rate,EQ-P,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.5475,,EQ-P/HT,189050.0,199000.00000000003,1.0526315789473686,1.0,0.9999499999999999
MAIN,0.0,0.05,100,rate,SRSWOR,EXP,189050.0,,,,,,,,,SRSWOR/EXP,189050.0,199000.00000000003,1.0,0.9499999999999998,
MAIN,0.0,0.05,100,rate,ST-PROP,EXP,189170.27846875,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]",ST-PROP/EXP,189050.0,199000.00000000003,1.0006362257008727,0.9506044144158291,
MAIN,0.0,0.05,100,rate,ST-EQD,EXP,428398.7332500001,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]",ST-EQD/EXP,189050.0,199000.00000000003,2.2660604773869353,2.152757453517588,
MAIN,0.0,0.05,100,rate,PPS-A,HT,830885.1727287062,1.629564361605836e-05,0.1887008877890677,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,820788.0392026001,,PPS-A/HT,189050.0,199000.00000000003,4.395055132127512,4.175302375521136,4.341645274808782
MAIN,0.0,0.05,100,rate,RA-OR,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.5475,,RA-OR/HT,189050.0,199000.00000000003,1.0526315789473686,1.0,0.9999499999999999
MAIN,0.0,0.05,100,rate,DEF-0.25-OR,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.5475,,DEF-0.25-OR/HT,189050.0,199000.00000000003,1.0526315789473686,1.0,0.9999499999999999
MAIN,0.0,0.05,100,rate,DEF-0.5-OR,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.5475,,DEF-0.5-OR/HT,189050.0,199000.00000000003,1.0526315789473686,1.0,0.9999499999999999
MAIN,0.0,0.05,100,rate,DEF-0.75-OR,HT,199000.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.5475,,DEF-0.75-OR/HT,189050.0,199000.00000000003,1.0526315789473686,1.0,0.9999499999999999
MAIN,0.0,0.05,100,rate,EQ-P,DIFF-OR,189050.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.5475,,EQ-P/DIFF-OR,189050.0,199000.00000000003,1.0000000000000002,0.95,0.9999499999999999
MAIN,0.0,0.05,100,rate,SRSWOR,DIFF-OR,189050.0,,,,,,,,,SRSWOR/DIFF-OR,189050.0,199000.00000000003,1.0,0.9499999999999998,
MAIN,0.0,0.05,100,rate,RA-OR,DIFF-OR,189050.00000000003,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189040.5475,,RA-OR/DIFF-OR,189050.0,199000.00000000003,1.0000000000000002,0.95,0.9999499999999999
MAIN,0.0,0.05,100,dollars,EQ-P,HT,191847467020.9016,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189255233622.8249,,EQ-P/HT,189264696857.6678,191847467020.9016,1.013646338731497,1.0,0.9999499999999999
MAIN,0.0,0.05,100,dollars,SRSWOR,EXP,189264696857.6678,,,,,,,,,SRSWOR/EXP,189264696857.6678,191847467020.9016,1.0,0.986537376785108,
MAIN,0.0,0.05,100,dollars,ST-PROP,EXP,199042929186.24188,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]",ST-PROP/EXP,189264696857.6678,191847467020.9016,1.0516643224590774,1.0375061619372663,
MAIN,0.0,0.05,100,dollars,ST-EQD,EXP,56057231900.257904,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]",ST-EQD/EXP,189264696857.6678,191847467020.9016,0.2961843007754081,0.2921968831319025,
MAIN,0.0,0.05,100,dollars,PPS-A,HT,50957965359.55773,1.629564361605836e-05,0.1887008877890677,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,48401626052.021355,,PPS-A/HT,189264696857.6678,191847467020.9016,0.2692417878537565,0.2656170871101775,0.25573509933773175
MAIN,0.0,0.05,100,dollars,RA-OR,HT,50957965359.55773,1.629564361605836e-05,0.1887008877890678,61366.09412681075,1.777477387660256,0.0,9.906727953316151,48401626052.02135,,RA-OR/HT,189264696857.6678,191847467020.9016,0.2692417878537565,0.2656170871101775,0.2557350993377317
MAIN,0.0,0.05,100,dollars,DEF-0.25-OR,HT,86623018584.33667,0.003754073910904,0.0509252219472669,266.377280717734,0.2762640542931927,0.0,9.970717309768313,84046374168.44873,,DEF-0.25-OR/HT,189264696857.6678,191847467020.9016,0.4576818604976265,0.45152026205745616,0.44406788779871553
MAIN,0.0,0.05,100,dollars,DEF-0.5-OR,HT,64866994429.29083,0.002508147821808,0.0968504438945339,398.7005834764307,0.5175741825262512,0.0,9.95795233395169,62301520623.331085,,DEF-0.5-OR/HT,189264696857.6678,191847467020.9016,0.3427316108406238,0.3381175443000435,0.32917665923816486
MAIN,0.0,0.05,100,dollars,DEF-0.75-OR,HT,54968460281.23957,0.001262221732712,0.1427756658418008,792.2538283755999,0.8337664922857715,0.0,9.93664093352584,52409762122.69713,,DEF-0.75-OR/HT,189264696857.6678,191847467020.9016,0.2904316610222209,0.2865216890002035,0.27691250926796296
MAIN,0.0,0.05,100,dollars,EQ-P,DIFF-OR,182255093669.85657,0.005,0.005,200.0,0.0,0.0,9.974968671630002,182245980915.17303,,EQ-P/DIFF-OR,189264696857.6678,191847467020.9016,0.9629640217949224,0.9500000000000002,0.9629158735938323
MAIN,0.0,0.05,100,dollars,SRSWOR,DIFF-OR,182255093669.85657,,,,,,,,,SRSWOR/DIFF-OR,189264696857.6678,191847467020.9016,0.9629640217949224,0.9500000000000002,
MAIN,0.0,0.05,100,dollars,RA-OR,DIFF-OR,48410067091.57984,1.6295643616058356e-05,0.1887008877890678,61366.09412681076,1.7774773876602563,0.0,9.90672795331615,48401626052.02135,,RA-OR/DIFF-OR,189264696857.6678,191847467020.9016,0.2557796984610687,0.2523362327546686,0.2557350993377317
MAIN,0.0,0.05,400,rate,EQ-P,HT,49000.00000000001,0.02,0.02,50.0,0.0,0.0,19.798989873223334,46547.67249999999,,EQ-P/HT,46550.0,49000.00000000001,1.0526315789473686,1.0,0.9999499999999999
MAIN,0.0,0.05,400,rate,SRSWOR,EXP,46550.0,,,,,,,,,SRSWOR/EXP,46550.0,49000.00000000001,1.0,0.9499999999999998,
MAIN,0.0,0.05,400,rate,ST-PROP,EXP,46551.36524187943,,,,,,,,"[np.int64(254), np.int64(75), np.int64(40), np.int64(22), np.int64(9)]",ST-PROP/EXP,46550.0,49000.00000000001,1.0000293285043915,0.9500278620791719,
MAIN,0.0,0.05,400,rate,ST-EQD,EXP,106387.1833125,,,,,,,,"[np.int64(80), np.int64(80), np.int64(80), np.int64(80), np.int64(80)]",ST-EQD/EXP,46550.0,49000.00000000001,2.2854389540816324,2.1711670063775506,
MAIN,0.0,0.05,400,rate,PPS-A,HT,206971.29318217657,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,204375.19861885,,PPS-A/HT,46550.0,49000.00000000001,4.446214676308841,4.223903942493399,4.390444653466165
MAIN,0.0,0.05,400,rate,RA-OR,HT,49000.00000000001,0.02,0.02,50.0,0.0,0.0,19.798989873223334,46547.67249999999,,RA-OR/HT,46550.0,49000.00000000001,1.0526315789473686,1.0,0.9999499999999999
MAIN,0.0,0.05,400,rate,DEF-0.25-OR,HT,49000.00000000001,0.02,0.02,50.0,0.0,0.0,19.798989873223334,46547.67249999999,,DEF-0.25-OR/HT,46550.0,49000.00000000001,1.0526315789473686,1.0,0.9999499999999999
