dgp,sigma,prevalence,info,estimand,fail_rate,n_pos_plan_mean,n_pos_plan_min,brier,logloss,calib_in_large,calib_slope,auc,score_pearson_HT,score_spearman_HT,score_pearson_DIFF,score_spearman_DIFF
MAIN,0.0,0.05,COR-10000,dollars,0.0,499.475,433,0.047528901339441855,0.1988251267881919,-5.146732377363097e-05,,0.5003767524517694,0.9984182397332466,0.9992042651390705,0.9985771886061214,0.9992825584966363
MAIN,0.0,0.05,COR-10000,rate,0.0,499.475,433,0.047528901339441855,0.1988251267881919,-5.146732377363097e-05,,0.5003767524517694,,,,
MAIN,0.0,0.05,COR-2000,dollars,0.0,101.265,76,0.04764757904983773,0.2000474755573983,0.0006129340794747012,,0.5002672938260477,0.9925295651338412,0.9959744935951836,0.9933351526727543,0.9963529541518846
MAIN,0.0,0.05,COR-2000,rate,0.0,101.265,76,0.04764757904983773,0.2000474755573983,0.0006129340794747012,,0.5002672938260477,,,,
MAIN,0.0,0.05,COR-500,dollars,0.02,25.27,15,0.048200760265071196,0.21243798507183415,0.0005999734665002557,,0.5005794899032169,0.964296233394971,0.9632573517319257,0.9686495696347026,0.9646227761456617
MAIN,0.0,0.05,COR-500,rate,0.02,25.27,15,0.048200760265071196,0.21243798507183415,0.0005999734665002557,,0.5005794899032169,,,,
MAIN,0.0,0.05,KS-2000,dollars,0.0,99.645,73,0.047683595463959574,0.20046190697266475,-0.00018850259725602288,,0.5007240536277603,0.9902164308968634,0.9946220278266799,0.9913123086290916,0.995119015224925
MAIN,0.0,0.05,KS-2000,rate,0.0,99.645,73,0.047683595463959574,0.20046190697266475,-0.00018850259725602288,,0.5007240536277603,,,,
MAIN,0.0,0.05,MIS-G-10000,dollars,0.0,498.325,457,0.04751386397063121,0.19866191854282622,-0.00016334970800410039,,0.4998427495761712,0.9994936642173627,0.9997936247357214,0.9995453836356222,0.9998146311136614
MAIN,0.0,0.05,MIS-G-10000,rate,0.0,498.325,457,0.04751386397063121,0.19866191854282622,-0.00016334970800410039,,0.4998427495761712,,,,
MAIN,0.0,0.05,MIS-G-2000,dollars,0.0,100.885,69,0.047571331790570916,0.19926699861757516,0.00046157492162145257,,0.4997505026931908,0.9979871108759711,0.9991981353430802,0.998196224815005,0.9992799226740696
MAIN,0.0,0.05,MIS-G-2000,rate,0.0,100.885,69,0.047571331790570916,0.19926699861757516,0.00046157492162145257,,0.4997505026931908,,,,
MAIN,0.0,0.05,MIS-I-2000,dollars,0.0,99.265,75,0.0476160337801086,0.19977716344469293,-0.0003430582982988438,,0.4998522280521041,0.9943935934703434,0.9970863930823658,0.9949816371609158,0.9973621107185777
MAIN,0.0,0.05,MIS-I-2000,rate,0.0,99.265,75,0.0476160337801086,0.19977716344469293,-0.0003430582982988438,,0.4998522280521041,,,,
MAIN,0.0,0.25,COR-10000,dollars,0.0,2501.215,2354,0.18761422771392985,0.5626409533407635,0.0001190495590932876,,0.5005826300734981,0.9997532353280216,0.9998771388537102,0.9998900465281509,0.9999446232174288
